Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
90,8.99999999999998e-05,1.42657629086434e-06,0,1.84123783395726e-06,0,1.81132199968965e-06,0,1.51075181322199e-06,0,1.47063552440137e-10,0,2.11491894520589e-13,0,0,0,1.21218245405451e-08,0,0,0,7.7980807684587e-06,0,3285.65692804755,0,1.44002378057768e-05,0,393392.932927662,0
91,9.09999999999998e-05,1.49950817498789e-06,0,1.78588144382852e-06,0,1.82586574173881e-06,0,1.49981953525584e-06,0,1.40434977608447e-10,0,1.94522906906634e-13,0,0,0,1.21681019770717e-08,0,0,0,7.76220407445499e-06,0,3288.96354632561,0,1.43855877017436e-05,0,393388.213894612,0
92,9.19999999999998e-05,1.61338804085318e-06,0,1.70266950040478e-06,0,1.88060190909129e-06,0,1.47352618872997e-06,0,1.37225371043926e-10,0,1.91712379895691e-13,0,0,0,1.29531136603719e-08,0,0,0,7.691487055589e-06,0,3291.37715420926,0,1.4374763225412e-05,0,393380.678769532,0
93,9.29999999999998e-05,1.62823503847341e-06,0,1.68953875490042e-06,0,1.83100464456267e-06,0,1.49497139151159e-06,0,1.27737115767401e-10,0,1.64741541290968e-13,0,0,0,1.19310737391098e-08,0,0,0,7.70831365058324e-06,0,3293.79321049176,0,1.43641224556277e-05,0,393378.032620061,0
94,9.39999999999998e-05,1.75937066336593e-06,0,1.59958181203956e-06,0,1.91096321636329e-06,0,1.45014901670701e-06,0,1.27879852849287e-10,0,1.72277135708299e-13,0,0,0,1.32523294137335e-08,0,0,0,7.62199772146578e-06,0,3295.63011520197,0,1.43554428114853e-05,0,393359.579710147,0
95,9.49999999999998e-05,1.85403313902693e-06,0,1.53502300787011e-06,0,1.94382975815649e-06,0,1.43215845864854e-06,0,1.25010437151828e-10,0,1.70229855562458e-13,0,0,0,1.3788554498692e-08,0,0,0,7.57088988582637e-06,0,3296.79542123941,0,1.43498479846941e-05,0,393345.307792833,0
96,9.59999999999998e-05,1.9474848526116e-06,0,1.4734405590733e-06,0,1.97750248081398e-06,0,1.40980608136086e-06,0,1.22618536787283e-10,0,1.69276781959479e-13,0,0,0,1.43944704993156e-08,0,0,0,7.52159074364631e-06,0,3297.98428324042,0,1.43443419758189e-05,0,393336.172335364,0
97,9.69999999999998e-05,2.07817760042386e-06,0,1.38904482203725e-06,0,2.05162405702104e-06,0,1.36528853427918e-06,0,1.23579439608496e-10,0,1.82119575034106e-13,0,0,0,1.59779704244468e-08,0,0,0,7.44247322200378e-06,0,3298.20454847281,0,1.43427099677487e-05,0,393317.688128172,0
98,9.79999999999998e-05,2.09586589139123e-06,0,1.37821297126165e-06,0,2.00005012609843e-06,0,1.38532218218183e-06,0,1.15567861961811e-10,0,1.58379149163314e-13,0,0,0,1.47865316817394e-08,0,0,0,7.45959554193002e-06,0,3300.22031004085,0,1.4333948970786e-05,0,393317.673689442,0
99,9.89999999999998e-05,2.22250373395381e-06,0,1.29954521224874e-06,0,2.07896656828732e-06,0,1.33178949422574e-06,0,1.17704685362544e-10,0,1.74113002204456e-13,0,0,0,1.66080132885618e-08,0,0,0,7.38322183307408e-06,0,3300.32598897109,0,1.43327527338766e-05,0,393297.443120977,0
